School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,English Learners,Test Source,Test,Total Count,Pass Rate
2010-2011,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,              14,    85.71
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              84,100.00
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              41,100.00
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              57,    91.23
2010-2011,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              11,    90.91
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              53,100.00
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              17,100.00
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              64,    81.25
2010-2011,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2010-2011,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,              95,100.00
2010-2011,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              50,100.00
2010-2011,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,             100,    94.00
2010-2011,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2010-2011,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              48,100.00
2010-2011,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              18,100.00
2010-2011,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              45,    80.00
2010-2011,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              67,100.00
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              54,    98.15
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              58,    94.83
2010-2011,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2011-2012,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,<,>50
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              64,    98.44
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              30,100.00
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              46,    69.57
2011-2012,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              61,    95.08
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              30,100.00
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              49,    44.90
2011-2012,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             109,    99.08
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              50,100.00
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,             109,    96.33
2011-2012,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              29,    75.86
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              40,100.00
2011-2012,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              55,    41.82
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              65,    95.38
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              68,100.00
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              41,    51.22
2011-2012,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2012-2013,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,              17,<50
2012-2013,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,Y,SOL,Mathematics,<,<50
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              58,    86.21
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              40,100.00
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              51,    49.02
2012-2013,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              14,    64.29
2012-2013,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              52,    98.08
2012-2013,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2012-2013,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              38,100.00
2012-2013,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              60,    63.33
2012-2013,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2012-2013,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             118,    97.46
2012-2013,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              53,100.00
2012-2013,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              58,    81.03
2012-2013,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,<50
2012-2013,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              35,100.00
2012-2013,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2012-2013,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              40,100.00
2012-2013,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              60,    41.67
2012-2013,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              74,    98.65
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              82,100.00
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              50,    50.00
2013-2014,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,N,SOL,Mathematics,              11,<50
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              86,    94.19
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              53,100.00
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              63,    58.73
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              16,    50.00
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              54,    98.15
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              44,100.00
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              71,    53.52
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,             131,    97.71
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              68,100.00
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              51,    88.24
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,<,>50
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              33,    93.94
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              23,100.00
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              46,    63.04
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              83,    93.98
