School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Source,Test,Total Count,Pass Rate
2012-2013,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             118,    97.46
2012-2013,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              53,100.00
2012-2013,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              61,    78.69
2012-2013,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              36,100.00
2012-2013,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              40,100.00
2012-2013,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              61,    42.62
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              74,    98.65
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              83,100.00
2012-2013,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              50,    50.00
2013-2014,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,              11,<50
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              96,    94.79
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              54,100.00
2013-2014,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              80,    56.25
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              58,    98.28
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              45,100.00
2013-2014,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Mathematics,              81,    53.09
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Algebra I,             134,    97.76
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Geometry,              69,100.00
2013-2014,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,SOL,Mathematics,              52,    88.46
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Algebra I,              33,    93.94
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Geometry,              23,100.00
2013-2014,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,SOL,Mathematics,              46,    63.04
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Algebra I,              83,    93.98
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Geometry,              62,100.00
2013-2014,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,SOL,Mathematics,              39,    46.15
2014-2015,2,Albemarle County ,1060,Albemarle County Community Public Charter,Mathematics,8,SOL,Mathematics,<,<50
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Algebra I,              66,100.00
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Geometry,              36,100.00
2014-2015,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,SOL,Mathematics,              75,    69.33
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Algebra I,              70,    95.71
2014-2015,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,SOL,Geometry,              39,100.00
