School Year,Division Number,Division Name,School Number,School Name,Subject,Grade,Disadvantaged,Test Source,Test,Total Count,Pass Rate
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              31,100.00
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              24,    83.33
2008-2009,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              40,    90.00
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              34,100.00
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              10,100.00
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              70,    98.57
2008-2009,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              29,    96.55
2008-2009,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,              76,100.00
2008-2009,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2008-2009,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Geometry,              60,100.00
2008-2009,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Mathematics,              83,    96.39
2008-2009,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,Y,SOL,Mathematics,              24,    87.50
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Algebra I,              20,100.00
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Geometry,              21,100.00
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,N,SOL,Mathematics,              27,    85.19
2008-2009,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,8,Y,SOL,Mathematics,              27,    81.48
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Algebra I,              64,100.00
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Algebra I,<,>50
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Geometry,              49,100.00
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,N,SOL,Mathematics,              57,    98.25
2008-2009,2,Albemarle County ,1051,Mortimer Y. Sutherland Middle,Mathematics,8,Y,SOL,Mathematics,              12,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Algebra I,              54,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Algebra I,              16,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Geometry,              35,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,N,SOL,Mathematics,              22,100.00
2009-2010,2,Albemarle County ,950,Jack Jouett Middle,Mathematics,8,Y,SOL,Mathematics,              33,    84.85
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Algebra I,              49,100.00
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Algebra I,              10,100.00
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Geometry,              19,100.00
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Geometry,<,>50
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,N,SOL,Mathematics,              32,    93.75
2009-2010,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,8,Y,SOL,Mathematics,              38,    94.74
2009-2010,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,8,N,SOL,Algebra I,              88,100.00
