"Year","School_ID","Entity","Group","Test","Pass Rate","Total Count"
"2014-2015",NA,"Albemarle County","Asian","Mathematics",NA,NA
"2014-2015",NA,"Albemarle County","Black","Algebra I",92.31,26
"2014-2015",NA,"Albemarle County","Black","Geometry",NA,NA
"2014-2015",NA,"Albemarle County","Black","Mathematics",50.72,69
"2014-2015",NA,"Albemarle County","Hispanic","Algebra I",100,32
"2014-2015",NA,"Albemarle County","Hispanic","Geometry",NA,NA
"2014-2015",NA,"Albemarle County","Hispanic","Mathematics",45.65,46
"2014-2015",NA,"Albemarle County","White","Algebra I",96.36,302
"2014-2015",NA,"Albemarle County","White","Geometry",100,181
"2014-2015",NA,"Albemarle County","White","Mathematics",61.11,180
"2014-2015",NA,"Albemarle County","Native Hawaiian  or Pacific Islander","Algebra I",NA,NA
"2014-2015",NA,"Albemarle County","Multiple Races","Algebra I",100,16
"2014-2015",NA,"Albemarle County","Multiple Races","Geometry",100,14
"2014-2015",NA,"Albemarle County","Multiple Races","Mathematics",72.73,11
"2014-2015",1060,"Albemarle County Community Public Charter","All Students","Mathematics",NA,NA
"2014-2015",1060,"Albemarle County Community Public Charter","Economically Advantaged","Mathematics",NA,NA
"2014-2015",1060,"Albemarle County Community Public Charter","Economically Disadvantaged","Mathematics",NA,NA
"2014-2015",1060,"Albemarle County Community Public Charter","Non-English Learners","Mathematics",NA,NA
"2014-2015",1060,"Albemarle County Community Public Charter","Black","Mathematics",NA,NA
"2014-2015",1060,"Albemarle County Community Public Charter","Hispanic","Mathematics",NA,NA
"2014-2015",1060,"Albemarle County Community Public Charter","White","Mathematics",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Algebra I",100,66
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Geometry",100,36
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Mathematics",69.33,75
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Algebra I",100,43
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Algebra I",100,23
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Geometry",100,31
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Geometry",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Mathematics",79.17,24
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Mathematics",64.71,51
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Algebra I",100,65
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Algebra I",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Geometry",100,36
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Mathematics",70.49,61
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Mathematics",61.54,13
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Algebra I",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Geometry",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Mathematics",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Algebra I",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Geometry",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Mathematics",60.61,33
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Algebra I",100,11
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Geometry",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Mathematics",69.23,13
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Algebra I",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Geometry",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Mathematics",NA,NA
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Algebra I",100,37
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Geometry",100,26
"2014-2015",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Mathematics",78.26,23
"2014-2015",69,"Jackson P. Burley Middle","All Students","Algebra I",95.71,70
"2014-2015",69,"Jackson P. Burley Middle","All Students","Geometry",100,39
"2014-2015",69,"Jackson P. Burley Middle","All Students","Mathematics",47.54,61
"2014-2015",69,"Jackson P. Burley Middle","Economically Advantaged","Algebra I",94.74,57
"2014-2015",69,"Jackson P. Burley Middle","Economically Disadvantaged","Algebra I",100,13
"2014-2015",69,"Jackson P. Burley Middle","Economically Advantaged","Geometry",100,38
"2014-2015",69,"Jackson P. Burley Middle","Economically Disadvantaged","Geometry",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Economically Advantaged","Mathematics",53.85,26
"2014-2015",69,"Jackson P. Burley Middle","Economically Disadvantaged","Mathematics",42.86,35
"2014-2015",69,"Jackson P. Burley Middle","Non-English Learners","Algebra I",95.52,67
"2014-2015",69,"Jackson P. Burley Middle","English Learners","Algebra I",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Non-English Learners","Geometry",100,39
"2014-2015",69,"Jackson P. Burley Middle","Non-English Learners","Mathematics",52.08,48
"2014-2015",69,"Jackson P. Burley Middle","English Learners","Mathematics",NA,12
"2014-2015",69,"Jackson P. Burley Middle","American Indian","Mathematics",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Asian","Algebra I",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Asian","Geometry",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Asian","Mathematics",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Black","Algebra I",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Black","Mathematics",54.55,11
"2014-2015",69,"Jackson P. Burley Middle","Hispanic","Algebra I",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Hispanic","Geometry",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Hispanic","Mathematics",NA,15
"2014-2015",69,"Jackson P. Burley Middle","Multiple Races","Algebra I",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Multiple Races","Geometry",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","Multiple Races","Mathematics",NA,NA
"2014-2015",69,"Jackson P. Burley Middle","White","Algebra I",94.23,52
"2014-2015",69,"Jackson P. Burley Middle","White","Geometry",100,33
"2014-2015",69,"Jackson P. Burley Middle","White","Mathematics",45.16,31
"2014-2015",942,"Joseph T. Henley Middle","All Students","Algebra I",99.34,151
"2014-2015",942,"Joseph T. Henley Middle","All Students","Geometry",100,63
"2014-2015",942,"Joseph T. Henley Middle","All Students","Mathematics",82.35,51
"2014-2015",942,"Joseph T. Henley Middle","Economically Advantaged","Algebra I",99.25,133
"2014-2015",942,"Joseph T. Henley Middle","Economically Disadvantaged","Algebra I",100,18
"2014-2015",942,"Joseph T. Henley Middle","Economically Advantaged","Geometry",100,62
"2014-2015",942,"Joseph T. Henley Middle","Economically Disadvantaged","Geometry",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Economically Advantaged","Mathematics",94.87,39
"2014-2015",942,"Joseph T. Henley Middle","Economically Disadvantaged","Mathematics",NA,12
"2014-2015",942,"Joseph T. Henley Middle","Non-English Learners","Algebra I",99.33,149
"2014-2015",942,"Joseph T. Henley Middle","English Learners","Algebra I",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Non-English Learners","Geometry",100,63
"2014-2015",942,"Joseph T. Henley Middle","Non-English Learners","Mathematics",82.35,51
"2014-2015",942,"Joseph T. Henley Middle","Asian","Algebra I",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Asian","Geometry",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Black","Algebra I",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Black","Mathematics",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Hispanic","Algebra I",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Hispanic","Mathematics",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Native Hawaiian  or Pacific Islander","Algebra I",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Multiple Races","Algebra I",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Multiple Races","Geometry",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","Multiple Races","Mathematics",NA,NA
"2014-2015",942,"Joseph T. Henley Middle","White","Algebra I",99.25,134
"2014-2015",942,"Joseph T. Henley Middle","White","Geometry",100,57
"2014-2015",942,"Joseph T. Henley Middle","White","Mathematics",92.86,42
"2014-2015",20,"Leslie H. Walton Middle","All Students","Algebra I",90.91,33
"2014-2015",20,"Leslie H. Walton Middle","All Students","Geometry",100,33
"2014-2015",20,"Leslie H. Walton Middle","All Students","Mathematics",52.38,63
"2014-2015",20,"Leslie H. Walton Middle","Economically Advantaged","Algebra I",94.44,18
"2014-2015",20,"Leslie H. Walton Middle","Economically Disadvantaged","Algebra I",86.67,15
"2014-2015",20,"Leslie H. Walton Middle","Economically Advantaged","Geometry",100,29
"2014-2015",20,"Leslie H. Walton Middle","Economically Disadvantaged","Geometry",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Economically Advantaged","Mathematics",60,25
"2014-2015",20,"Leslie H. Walton Middle","Economically Disadvantaged","Mathematics",47.37,38
"2014-2015",20,"Leslie H. Walton Middle","Non-English Learners","Algebra I",90.91,33
"2014-2015",20,"Leslie H. Walton Middle","Non-English Learners","Geometry",100,33
"2014-2015",20,"Leslie H. Walton Middle","Non-English Learners","Mathematics",55,60
"2014-2015",20,"Leslie H. Walton Middle","English Learners","Mathematics",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Asian","Mathematics",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Black","Algebra I",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Black","Geometry",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Black","Mathematics",NA,11
"2014-2015",20,"Leslie H. Walton Middle","Hispanic","Algebra I",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Hispanic","Geometry",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Hispanic","Mathematics",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Multiple Races","Geometry",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","Multiple Races","Mathematics",NA,NA
"2014-2015",20,"Leslie H. Walton Middle","White","Algebra I",91.3,23
"2014-2015",20,"Leslie H. Walton Middle","White","Geometry",100,27
"2014-2015",20,"Leslie H. Walton Middle","White","Mathematics",52.38,42
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Algebra I",91.78,73
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Geometry",100,54
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Mathematics",43.75,48
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Algebra I",92.42,66
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Disadvantaged","Algebra I",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Geometry",100,52
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Disadvantaged","Geometry",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Mathematics",42.42,33
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Disadvantaged","Mathematics",NA,15
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Algebra I",91.78,73
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Geometry",100,53
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Mathematics",46.67,45
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","English Learners","Mathematics",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Asian","Algebra I",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Asian","Geometry",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Black","Algebra I",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Black","Geometry",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Black","Mathematics",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Algebra I",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Geometry",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Mathematics",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Multiple Races","Algebra I",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Multiple Races","Geometry",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Multiple Races","Mathematics",NA,NA
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Algebra I",91.07,56
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Geometry",100,38
"2014-2015",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Mathematics",45.71,35
"2014-2015",NA,"Virginia","All Students","Algebra I",92.35,35520
"2014-2015",NA,"Virginia","All Students","Geometry",97.23,11662
"2014-2015",NA,"Virginia","All Students","Mathematics",65.67,44820
"2014-2015",NA,"Virginia","Economically Advantaged","Algebra I",95.06,25626
"2014-2015",NA,"Virginia","Economically Advantaged","Geometry",98.77,9678
"2014-2015",NA,"Virginia","Economically Advantaged","Mathematics",74.59,21046
"2014-2015",NA,"Virginia","Economically Disadvantaged","Algebra I",85.32,9894
"2014-2015",NA,"Virginia","Economically Disadvantaged","Geometry",89.72,1984
"2014-2015",NA,"Virginia","Economically Disadvantaged","Mathematics",57.76,23774
"2014-2015",NA,"Virginia","Non-English Learners","Algebra I",92.84,34307
"2014-2015",NA,"Virginia","Non-English Learners","Geometry",97.29,11529
"2014-2015",NA,"Virginia","Non-English Learners","Mathematics",67.1,40973
"2014-2015",NA,"Virginia","English Learners","Algebra I",72.69,897
"2014-2015",NA,"Virginia","English Learners","Geometry",83.58,67
"2014-2015",NA,"Virginia","English Learners","Mathematics",47.56,3520
"2014-2015",NA,"Virginia","American Indian","Algebra I",88.04,92
"2014-2015",NA,"Virginia","American Indian","Geometry",100,21
"2014-2015",NA,"Virginia","American Indian","Mathematics",72,150
"2014-2015",NA,"Virginia","Asian","Algebra I",97.61,2847
"2014-2015",NA,"Virginia","Asian","Geometry",100,1817
"2014-2015",NA,"Virginia","Asian","Mathematics",79.44,1323
"2014-2015",NA,"Virginia","Black","Algebra I",86.11,6118
"2014-2015",NA,"Virginia","Black","Geometry",88.18,1582
"2014-2015",NA,"Virginia","Black","Mathematics",54.36,13405
"2014-2015",NA,"Virginia","Hispanic","Algebra I",86.59,3899
"2014-2015",NA,"Virginia","Hispanic","Geometry",95.98,696
"2014-2015",NA,"Virginia","Hispanic","Mathematics",62.89,6767
"2014-2015",NA,"Virginia","White","Algebra I",94.44,20878
"2014-2015",NA,"Virginia","White","Geometry",98.7,6928
"2014-2015",NA,"Virginia","White","Mathematics",72.59,21181
"2014-2015",NA,"Virginia","Native Hawaiian  or Pacific Islander","Algebra I",95.83,48
"2014-2015",NA,"Virginia","Native Hawaiian  or Pacific Islander","Geometry",95.45,22
"2014-2015",NA,"Virginia","Native Hawaiian  or Pacific Islander","Mathematics",69.57,69
"2014-2015",NA,"Virginia","Multiple Races","Algebra I",93.77,1638
"2014-2015",NA,"Virginia","Multiple Races","Geometry",97.65,596
"2014-2015",NA,"Virginia","Multiple Races","Mathematics",67.84,1925
"2015-2016",NA,"Albemarle County","All Students","Algebra I",93.5,354
"2015-2016",NA,"Albemarle County","All Students","Geometry",100,249
"2015-2016",NA,"Albemarle County","All Students","Mathematics",57.14,357
"2015-2016",NA,"Albemarle County","Economically Advantaged","Algebra I",94.24,295
"2015-2016",NA,"Albemarle County","Economically Advantaged","Geometry",100,237
"2015-2016",NA,"Albemarle County","Economically Advantaged","Mathematics",63.58,151
"2015-2016",NA,"Albemarle County","Economically Disadvantaged","Algebra I",89.83,59
"2015-2016",NA,"Albemarle County","Economically Disadvantaged","Geometry",100,12
"2015-2016",NA,"Albemarle County","Economically Disadvantaged","Mathematics",52.43,206
"2015-2016",NA,"Albemarle County","Non-English Learners","Algebra I",93.22,339
"2015-2016",NA,"Albemarle County","Non-English Learners","Geometry",100,246
"2015-2016",NA,"Albemarle County","Non-English Learners","Mathematics",58.12,308
"2015-2016",NA,"Albemarle County","English Learners","Algebra I",100,11
"2015-2016",NA,"Albemarle County","English Learners","Geometry",NA,NA
"2015-2016",NA,"Albemarle County","English Learners","Mathematics",48.89,45
"2015-2016",NA,"Albemarle County","Asian","Algebra I",100,16
"2015-2016",NA,"Albemarle County","Asian","Geometry",100,19
"2015-2016",NA,"Albemarle County","Asian","Mathematics",63.64,11
"2015-2016",NA,"Albemarle County","Black","Algebra I",77.27,22
"2015-2016",NA,"Albemarle County","Black","Geometry",NA,NA
"2015-2016",NA,"Albemarle County","Black","Mathematics",42.5,80
"2015-2016",NA,"Albemarle County","Hispanic","Algebra I",88.46,26
"2015-2016",NA,"Albemarle County","Hispanic","Geometry",100,12
"2015-2016",NA,"Albemarle County","Hispanic","Mathematics",41.18,51
"2015-2016",NA,"Albemarle County","White","Algebra I",94.91,275
"2015-2016",NA,"Albemarle County","White","Geometry",100,205
"2015-2016",NA,"Albemarle County","White","Mathematics",68.59,191
"2015-2016",NA,"Albemarle County","Multiple Races","Algebra I",93.33,15
"2015-2016",NA,"Albemarle County","Multiple Races","Geometry",100,12
"2015-2016",NA,"Albemarle County","Multiple Races","Mathematics",45.83,24
"2015-2016",1060,"Albemarle County Community Public Charter","All Students","Mathematics",NA,15
"2015-2016",1060,"Albemarle County Community Public Charter","Economically Advantaged","Mathematics",NA,NA
"2015-2016",1060,"Albemarle County Community Public Charter","Economically Disadvantaged","Mathematics",NA,NA
"2015-2016",1060,"Albemarle County Community Public Charter","Non-English Learners","Mathematics",NA,14
"2015-2016",1060,"Albemarle County Community Public Charter","Black","Mathematics",NA,NA
"2015-2016",1060,"Albemarle County Community Public Charter","Hispanic","Mathematics",NA,NA
"2015-2016",1060,"Albemarle County Community Public Charter","Multiple Races","Mathematics",NA,NA
"2015-2016",1060,"Albemarle County Community Public Charter","White","Mathematics",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Algebra I",94.44,72
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Geometry",100,44
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Mathematics",60.23,88
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Algebra I",93.88,49
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Algebra I",95.65,23
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Geometry",100,41
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Geometry",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Advantaged","Mathematics",75,16
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Economically Disadvantaged","Mathematics",56.94,72
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Algebra I",93.65,63
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Algebra I",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Geometry",100,42
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Geometry",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Non-English Learners","Mathematics",60.34,58
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","English Learners","Mathematics",55.56,27
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Algebra I",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Geometry",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Asian","Mathematics",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Algebra I",81.82,11
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Black","Mathematics",53.33,30
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Algebra I",100,13
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Geometry",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Hispanic","Mathematics",52.17,23
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Algebra I",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Geometry",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","Multiple Races","Mathematics",NA,NA
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Algebra I",95.12,41
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Geometry",100,36
"2015-2016",950,"Journey Middle (Formerly: Jack Jouett Middle)","White","Mathematics",79.17,24
"2015-2016",69,"Jackson P. Burley Middle","All Students","Algebra I",83.33,36
"2015-2016",69,"Jackson P. Burley Middle","All Students","Geometry",100,31
"2015-2016",69,"Jackson P. Burley Middle","All Students","Mathematics",48.28,87
"2015-2016",69,"Jackson P. Burley Middle","Economically Advantaged","Algebra I",85.71,28
"2015-2016",69,"Jackson P. Burley Middle","Economically Disadvantaged","Algebra I",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Economically Advantaged","Geometry",100,28
"2015-2016",69,"Jackson P. Burley Middle","Economically Disadvantaged","Geometry",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Economically Advantaged","Mathematics",58.97,39
"2015-2016",69,"Jackson P. Burley Middle","Economically Disadvantaged","Mathematics",39.58,48
"2015-2016",69,"Jackson P. Burley Middle","Non-English Learners","Algebra I",81.82,33
"2015-2016",69,"Jackson P. Burley Middle","English Learners","Algebra I",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Non-English Learners","Geometry",100,31
"2015-2016",69,"Jackson P. Burley Middle","Non-English Learners","Mathematics",50,74
"2015-2016",69,"Jackson P. Burley Middle","English Learners","Mathematics",NA,13
"2015-2016",69,"Jackson P. Burley Middle","Asian","Algebra I",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Asian","Geometry",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Asian","Mathematics",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Black","Algebra I",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Black","Geometry",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Black","Mathematics",34.78,23
"2015-2016",69,"Jackson P. Burley Middle","Hispanic","Algebra I",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Hispanic","Geometry",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Hispanic","Mathematics",NA,15
"2015-2016",69,"Jackson P. Burley Middle","Multiple Races","Algebra I",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Multiple Races","Geometry",NA,NA
"2015-2016",69,"Jackson P. Burley Middle","Multiple Races","Mathematics",60,10
"2015-2016",69,"Jackson P. Burley Middle","White","Algebra I",82.61,23
"2015-2016",69,"Jackson P. Burley Middle","White","Geometry",100,26
"2015-2016",69,"Jackson P. Burley Middle","White","Mathematics",63.16,38
"2015-2016",942,"Joseph T. Henley Middle","All Students","Algebra I",98.01,151
"2015-2016",942,"Joseph T. Henley Middle","All Students","Geometry",100,73
"2015-2016",942,"Joseph T. Henley Middle","All Students","Mathematics",75,44
"2015-2016",942,"Joseph T. Henley Middle","Economically Advantaged","Algebra I",97.9,143
"2015-2016",942,"Joseph T. Henley Middle","Economically Disadvantaged","Algebra I",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Economically Advantaged","Geometry",100,72
"2015-2016",942,"Joseph T. Henley Middle","Economically Disadvantaged","Geometry",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Economically Advantaged","Mathematics",83.33,30
"2015-2016",942,"Joseph T. Henley Middle","Economically Disadvantaged","Mathematics",57.14,14
"2015-2016",942,"Joseph T. Henley Middle","Non-English Learners","Algebra I",98.01,151
"2015-2016",942,"Joseph T. Henley Middle","Non-English Learners","Geometry",100,73
"2015-2016",942,"Joseph T. Henley Middle","Non-English Learners","Mathematics",74.42,43
"2015-2016",942,"Joseph T. Henley Middle","English Learners","Mathematics",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Asian","Algebra I",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Asian","Geometry",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Black","Algebra I",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Black","Mathematics",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Hispanic","Algebra I",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Hispanic","Geometry",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Hispanic","Mathematics",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Multiple Races","Algebra I",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Multiple Races","Geometry",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","Multiple Races","Mathematics",NA,NA
"2015-2016",942,"Joseph T. Henley Middle","White","Algebra I",97.84,139
"2015-2016",942,"Joseph T. Henley Middle","White","Geometry",100,65
"2015-2016",942,"Joseph T. Henley Middle","White","Mathematics",77.14,35
"2015-2016",20,"Leslie H. Walton Middle","All Students","Algebra I",100,19
"2015-2016",20,"Leslie H. Walton Middle","All Students","Geometry",100,28
"2015-2016",20,"Leslie H. Walton Middle","All Students","Mathematics",79.49,78
"2015-2016",20,"Leslie H. Walton Middle","Economically Advantaged","Algebra I",100,14
"2015-2016",20,"Leslie H. Walton Middle","Economically Disadvantaged","Algebra I",NA,NA
"2015-2016",20,"Leslie H. Walton Middle","Economically Advantaged","Geometry",100,26
"2015-2016",20,"Leslie H. Walton Middle","Economically Disadvantaged","Geometry",NA,NA
"2015-2016",20,"Leslie H. Walton Middle","Economically Advantaged","Mathematics",80.65,31
"2015-2016",20,"Leslie H. Walton Middle","Economically Disadvantaged","Mathematics",78.72,47
"2015-2016",20,"Leslie H. Walton Middle","Non-English Learners","Algebra I",100,19
"2015-2016",20,"Leslie H. Walton Middle","Non-English Learners","Geometry",100,28
