"Year","School_ID","Entity","Group","Test","Pass Rate","Total Count"
"2005-2006",20,"Leslie H. Walton Middle","English Learners","Algebra I",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Non-English Learners","Geometry",100,26
"2005-2006",20,"Leslie H. Walton Middle","English Learners","Geometry",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Non-English Learners","Mathematics",81.17,154
"2005-2006",20,"Leslie H. Walton Middle","English Learners","Mathematics",60,10
"2005-2006",20,"Leslie H. Walton Middle","American Indian","Geometry",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","American Indian","Mathematics",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Asian","Algebra I",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Asian","Mathematics",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Black","Algebra I",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Black","Geometry",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Black","Mathematics",73.68,19
"2005-2006",20,"Leslie H. Walton Middle","Hispanic","Algebra I",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Hispanic","Geometry",NA,NA
"2005-2006",20,"Leslie H. Walton Middle","Hispanic","Mathematics",63.64,11
"2005-2006",20,"Leslie H. Walton Middle","White","Algebra I",100,45
"2005-2006",20,"Leslie H. Walton Middle","White","Geometry",100,23
"2005-2006",20,"Leslie H. Walton Middle","White","Mathematics",81.82,132
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Algebra I",100,59
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Geometry",100,38
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","All Students","Mathematics",92.63,217
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Algebra I",100,57
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Disadvantaged","Algebra I",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Geometry",100,38
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Advantaged","Mathematics",94.85,194
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Economically Disadvantaged","Mathematics",73.91,23
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Algebra I",100,57
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","English Learners","Algebra I",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Geometry",100,37
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Non-English Learners","Mathematics",92.45,212
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","English Learners","Mathematics",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","American Indian","Mathematics",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Asian","Algebra I",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Asian","Geometry",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Asian","Mathematics",100,13
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Black","Algebra I",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Black","Mathematics",69.7,33
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Algebra I",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Geometry",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","Hispanic","Mathematics",NA,NA
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Algebra I",100,49
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Geometry",100,32
"2005-2006",1051,"Lakeside Middle (Formerly: Mortimer Y. Sutherland Middle)","White","Mathematics",96.45,169
"2005-2006",NA,"Virginia","All Students","Algebra I",98.46,23959
"2005-2006",NA,"Virginia","All Students","Geometry",98.86,4818
"2005-2006",NA,"Virginia","All Students","Mathematics",71.13,65261
"2005-2006",NA,"Virginia","Economically Advantaged","Algebra I",98.91,20712
"2005-2006",NA,"Virginia","Economically Advantaged","Geometry",99.47,4374
"2005-2006",NA,"Virginia","Economically Advantaged","Mathematics",77.14,41797
"2005-2006",NA,"Virginia","Economically Disadvantaged","Algebra I",95.63,3247
"2005-2006",NA,"Virginia","Economically Disadvantaged","Geometry",92.79,444
"2005-2006",NA,"Virginia","Economically Disadvantaged","Mathematics",60.42,23464
"2005-2006",NA,"Virginia","Non-English Learners","Algebra I",98.48,23227
"2005-2006",NA,"Virginia","Non-English Learners","Geometry",98.84,4749
"2005-2006",NA,"Virginia","Non-English Learners","Mathematics",72.13,61153
"2005-2006",NA,"Virginia","English Learners","Algebra I",97.17,530
"2005-2006",NA,"Virginia","English Learners","Geometry",100,48
"2005-2006",NA,"Virginia","English Learners","Mathematics",53.21,3477
"2005-2006",NA,"Virginia","Unknown Race","Algebra I",99.49,389
"2005-2006",NA,"Virginia","Unknown Race","Geometry",100,61
"2005-2006",NA,"Virginia","Unknown Race","Mathematics",73.87,976
"2005-2006",NA,"Virginia","American Indian","Algebra I",97.1,69
"2005-2006",NA,"Virginia","American Indian","Geometry",100,12
"2005-2006",NA,"Virginia","American Indian","Mathematics",72.19,187
"2005-2006",NA,"Virginia","Asian","Algebra I",99.36,2018
"2005-2006",NA,"Virginia","Asian","Geometry",100,523
"2005-2006",NA,"Virginia","Asian","Mathematics",81.81,2232
"2005-2006",NA,"Virginia","Black","Algebra I",95.7,3464
"2005-2006",NA,"Virginia","Black","Geometry",93.99,632
"2005-2006",NA,"Virginia","Black","Mathematics",60.52,20598
"2005-2006",NA,"Virginia","Hispanic","Algebra I",97.6,875
"2005-2006",NA,"Virginia","Hispanic","Geometry",99.05,105
"2005-2006",NA,"Virginia","Hispanic","Mathematics",60.12,5050
"2005-2006",NA,"Virginia","White","Algebra I",98.94,17123
"2005-2006",NA,"Virginia","White","Geometry",100,3476
"2005-2006",NA,"Virginia","White","Mathematics",77.95,36170
"2005-2006",NA,"Virginia","Native Hawaiian  or Pacific Islander","Algebra I",100,21
"2005-2006",NA,"Virginia","Native Hawaiian  or Pacific Islander","Geometry",NA,NA
"2005-2006",NA,"Virginia","Native Hawaiian  or Pacific Islander","Mathematics",77.08,48
"2006-2007",NA,"Albemarle County","All Students","Algebra I",99.28,279
"2006-2007",NA,"Albemarle County","All Students","Geometry",100,138
"2006-2007",NA,"Albemarle County","All Students","Mathematics",67.83,457
"2006-2007",NA,"Albemarle County","Economically Advantaged","Algebra I",99.25,266
"2006-2007",NA,"Albemarle County","Economically Advantaged","Geometry",100,132
"2006-2007",NA,"Albemarle County","Economically Advantaged","Mathematics",75.24,319
"2006-2007",NA,"Albemarle County","Economically Disadvantaged","Algebra I",100,13
"2006-2007",NA,"Albemarle County","Economically Disadvantaged","Geometry",NA,NA
"2006-2007",NA,"Albemarle County","Economically Disadvantaged","Mathematics",50.72,138
"2006-2007",NA,"Albemarle County","Non-English Learners","Algebra I",99.26,270
"2006-2007",NA,"Albemarle County","Non-English Learners","Geometry",100,131
"2006-2007",NA,"Albemarle County","Non-English Learners","Mathematics",68.22,428
"2006-2007",NA,"Albemarle County","English Learners","Algebra I",NA,NA
"2006-2007",NA,"Albemarle County","English Learners","Geometry",NA,NA
"2006-2007",NA,"Albemarle County","English Learners","Mathematics",63.64,22
"2006-2007",NA,"Albemarle County","Unknown Race","Algebra I",NA,NA
"2006-2007",NA,"Albemarle County","Unknown Race","Geometry",NA,NA
"2006-2007",NA,"Albemarle County","Unknown Race","Mathematics",NA,NA
"2006-2007",NA,"Albemarle County","American Indian","Mathematics",NA,NA
"2006-2007",NA,"Albemarle County","Asian","Algebra I",NA,NA
"2006-2007",NA,"Albemarle County","Asian","Geometry",100,22
"2006-2007",NA,"Albemarle County","Asian","Mathematics",86.67,15
"2006-2007",NA,"Albemarle County","Black","Algebra I",94.12,17
"2006-2007",NA,"Albemarle County","Black","Geometry",NA,NA
"2006-2007",NA,"Albemarle County","Black","Mathematics",51.96,102
"2006-2007",NA,"Albemarle County","Hispanic","Algebra I",NA,NA
"2006-2007",NA,"Albemarle County","Hispanic","Geometry",NA,NA
"2006-2007",NA,"Albemarle County","Hispanic","Mathematics",63.16,19
"2006-2007",NA,"Albemarle County","White","Algebra I",100,246
"2006-2007",NA,"Albemarle County","White","Geometry",100,112
"2006-2007",NA,"Albemarle County","White","Mathematics",72.06,315
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Algebra I",96.43,56
"2006-2007",950,"Journey Middle (Formerly: Jack Jouett Middle)","All Students","Geometry",100,26
