School Year,Division Number,Division Name,Subject,Grade,English Learners,Test Source,Test,Total Count,Pass Rate
2022-2023,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             300,    90.00
2022-2023,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             270,    98.89
2022-2023,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             335,    43.28
2022-2023,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,<,>50
2022-2023,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2022-2023,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              71,    12.68
2023-2024,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             216,    92.13
2023-2024,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             291,    96.22
2023-2024,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             314,    44.90
2023-2024,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,              24,    75.00
2023-2024,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2023-2024,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,              89,    29.21
2024-2025,2,Albemarle County ,Mathematics,8,N,SOL,Algebra I,             269,    88.85
2024-2025,2,Albemarle County ,Mathematics,8,N,SOL,Geometry,             260,    96.54
2024-2025,2,Albemarle County ,Mathematics,8,N,SOL,Mathematics,             316,    55.06
2024-2025,2,Albemarle County ,Mathematics,8,Y,SOL,Algebra I,              17,    88.24
2024-2025,2,Albemarle County ,Mathematics,8,Y,SOL,Geometry,<,>50
2024-2025,2,Albemarle County ,Mathematics,8,Y,SOL,Mathematics,             107,    21.50
